userId,movieId,rating
517,1,4
213,1,3.5
514,1,4
214,1,3
216,1,3
217,1,4
219,1,3.5
509,1,4
220,1,5
504,1,4
372,1,3
500,1,4
223,1,3.5
206,1,5
226,1,3.5
610,1,5
229,1,5
492,1,4
490,1,3.5
232,1,3.5
488,1,4.5
233,1,3
484,1,4.5
234,1,5
239,1,4
240,1,5
483,1,4
247,1,5
414,1,4
249,1,4
373,1,3
201,1,5
167,1,3.5
169,1,4.5
17,1,4.5
171,1,5
177,1,5
380,1,5
550,1,4
544,1,3
541,1,3
178,1,4
179,1,4
378,1,4.5
412,1,2
202,1,4
182,1,4
533,1,5
529,1,3
528,1,2.5
185,1,4
186,1,4
525,1,4
347,1,5
193,1,2
609,1,3
524,1,4
522,1,3
200,1,3.5
15,1,2.5
534,1,4
555,1,4
480,1,3
477,1,4
357,1,5
460,1,4.5
456,1,5
453,1,5
304,1,5
451,1,5
307,1,4
448,1,5
443,1,4
314,1,3
5,1,4
353,1,5
438,1,4.5
462,1,1.5
436,1,4
432,1,2.5
350,1,4
322,1,3.5
323,1,3.5
328,1,5
330,1,4
332,1,4
334,1,3.5
422,1,4
336,1,4
337,1,4
339,1,4
420,1,4
434,1,4
252,1,4.5
298,1,2
292,1,4
254,1,4.5
476,1,4
263,1,4
264,1,4
266,1,2
269,1,5
270,1,5
273,1,5
274,1,4
275,1,5
474,1,4
276,1,4
367,1,5
293,1,3
277,1,4
364,1,5
7,1,4.5
471,1,5
470,1,4
280,1,4.5
282,1,4.5
283,1,3
288,1,4.5
359,1,4
469,1,4
468,1,4
290,1,4
291,1,4
279,1,3
166,1,5
191,1,4
341,1,5
103,1,4
54,1,3
590,1,4
587,1,5
50,1,3
46,1,5
107,1,4
45,1,4
584,1,5
381,1,3.5
580,1,3
399,1,4
579,1,4
112,1,3
78,1,4
401,1,3.5
44,1,3
43,1,5
604,1,3
119,1,3.5
573,1,5
57,1,5
396,1,5
603,1,4
98,1,4.5
73,1,4.5
19,1,4
71,1,5
599,1,3
82,1,2.5
385,1,4
600,1,2.5
86,1,4
89,1,3
597,1,4
40,1,5
596,1,4
91,1,4
68,1,2.5
66,1,4
382,1,4.5
93,1,3
64,1,4
63,1,5
601,1,4
161,1,4
96,1,5
90,1,3
121,1,4
76,1,0.5
605,1,4
135,1,4
31,1,5
137,1,4
608,1,2.5
145,1,5
389,1,5
140,1,3
134,1,3
144,1,3.5
18,1,3.5
607,1,4
559,1,5
561,1,4
27,1,3
141,1,4
560,1,3
606,1,2.5
153,1,2
151,1,5
132,1,2
160,1,4
572,1,4
159,1,4.5
124,1,4
21,1,3.5
156,1,4
570,1,4
33,1,3
562,1,4.5
155,1,3
391,1,3
130,1,3
32,1,3
567,1,3.5
411,1,5
288,2,2
68,2,2.5
21,2,3.5
608,2,2
425,2,3
600,2,4
284,2,4
294,2,3
426,2,4.5
330,2,1.5
434,2,2.5
604,2,5
318,2,3.5
605,2,3.5
432,2,4
308,2,3
446,2,3
321,2,5
447,2,5
448,2,3
